study_number,raw_dataset,raw_dataset_label,raw_variable,raw_variable_label,raw_variable_ordinal,raw_variable_type,raw_data_format,study_specific,annotation_ordinal,mapping_is_dataset,annotation_text,target_sdtm_domain,target_sdtm_variable,target_sdtm_variable_role,target_sdtm_variable_codelist_code,target_sdtm_variable_controlled_terms_or_format,target_sdtm_variable_ordinal,origin,mapping_algorithm,entity_sub_algorithm,target_hardcoded_value,target_term_value,target_term_code,condition_ordinal,condition_group_ordinal,condition_add_raw_dat,condition_add_tgt_dat,condition_left_raw_dataset,condition_left_raw_variable,condition_left_sdtm_domain,condition_left_sdtm_variable,condition_operator,condition_right_text_value,condition_right_sdtm_domain,condition_right_sdtm_variable,condition_right_raw_dataset,condition_right_raw_variable,condition_next_logical_operator,merge_type,merge_left,merge_right,merge_condition,unduplicate_keys,groupby_keys,target_resource_raw_dataset,target_resource_raw_variable,,
lp_study,vitals_raw_data,Vital Signs,,,,,,FALSE,1,TRUE,VS = 'Vital Signs',VS,DOMAIN,Identifier Variable,C66734,,,Assigned,hardcode_cthard,,,VS,C49622,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,,,,,,FALSE,2,TRUE,VS.VSCAT = <Form Name>,VS,VSCAT,Grouping Qualifier,,*,9,Assigned,hardcode_no_ct,,Vital Signs,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,ASMNTDN,Assessment not done,1,DropDownList,1,FALSE,1,FALSE,If No then VS.VSSTAT = 'NOT DONE' when VS.VSTESTCD = 'VSALL',VS,VSSTAT,Record Qualifier,C66789,(ND),17,Assigned,condition_add,hardcode_ct,,NOT DONE,C49484,1.2,0,"condition_add(vitals_raw_data, ASMNTDN == ""Yes"")",,vitals_raw_data,ASMNTDN,,,equal_to,Yes,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,ASMNTDN,Assessment not done,1,DropDownList,1,FALSE,1,FALSE,If No then VS.VSSTAT = 'NOT DONE' when VS.VSTESTCD = 'VSALL',VS,VSTESTCD,Topic Variable,C66741,(VSTESTCD),7,Assigned,condition_add,hardcode_ct,,VSALL,V00224,1.3,0,"condition_add(vitals_raw_data, ASMNTDN == ""Yes"")",,vitals_raw_data,ASMNTDN,,,equal_to,Yes,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,ASMNTDN,Assessment not done,1,DropDownList,1,FALSE,2,FALSE,If No then VS.VSTEST = 'Vital Signs',VS,VSTEST,Synonym Qualifier,C67153,(VSTEST),8,Assigned,condition_add,hardcode_ct,,Vital Signs,V00224,2.1,0,"condition_add(vitals_raw_data, ASMNTDN == ""Yes"")",,vitals_raw_data,ASMNTDN,,,equal_to,Yes,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,ASMNTDN,Assessment not done,1,DropDownList,1,FALSE,3,FALSE,Else NOT SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,TMPTC,Planned timepoint,2,DropDownList,$40 ,FALSE,1,FALSE,VS.VSTPT,VS,VSTPT,Timing Variable,,,,CRF,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,VTLD,Vital signs date,3,DateTime,dd MMM yyyy,FALSE,1,FALSE,VS.VSDTC,VS,VSDTC,Timing Variable,,ISO 8601,30,CRF,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,VTLTM,Vital signs tim,4,DateTime,HH:nn,FALSE,1,FALSE,VS.VSDTC,VS,VSDTC,Timing Variable,,ISO 8601,30,CRF,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,SUBPOS,Position of subject,5,Text,$32 ,FALSE,1,FALSE,VS.VSPOS when VS.VSTESTCD = 'SYSBP',VS,VSPOS,Record Qualifier,(POSITION),C71148,8,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
